resource_id,standard_code,matched_status,page,needs_review,review_reason,confidence,grounded,evidence,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,grounding_note,input_scope_caveat
G1M2U1L1,1.P.EICC.1.e,partial,45,False,,high,True,Direct students' attention to the Classroom Discussion Norms anchor chart and quickly review their jobs as speakers and listeners.,"The resource partially meets 1.P.EICC.1.e. Students discuss texts in small groups and with partners: during the Picture Tea Party protocol students share observations using ""In my picture, I see_______"" and during Back-to-Back and Face-to-Face they share using ""I noticed that the sun __________"" and ""One thing I wonder about the moon/stars is ____________"" — meeting the discuss-texts clause. Students also review existing Classroom Discussion Norms (""their jobs as speakers and listeners""), which partially meets the develop-group-norms clause since norms are referenced but not actively co-developed. However, the lesson does not include any moment where students share their own writing with the group, listen to peers share writing, offer feedback on peers' writing, or respond to feedback on their own writing — the independent writing (Noticing and Wondering response sheet) is completed but never shared for peer feedback. Four of six clauses are not met.","Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.T.RA.1.a,full,47,False,,high,True,One thing I wonder about the moon/stars is ____________.,"Students ask questions about topics of interest (the sun, moon, and stars) for research. They share wonders in the Back-to-Back protocol using the sentence frame 'One thing I wonder about the moon/stars is ____________' (Work Time B) and write their wonders on the Noticing and Wondering response sheet using 'I wonder ___________' (Work Time C). The teacher frames the work as thinking about 'all of the things Elvin wonders about and all of the questions he has' (Opening A), and students generate their own questions.",Ask questions about topics of interest for research. (I),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.CP.2.a,full,45,False,,high,True,"Once everyone has looked closely at their picture, you will signal them to share with their small group using the sentence frame 'In my picture, I see_______.'","Students communicate ideas clearly when presenting to audiences. They share observations in Picture Tea Party small groups ('In my picture, I see_______,' Opening B), in Back-to-Back partner protocol ('I noticed that the sun __________,' Work Time B), and in whole-group share-out ('What did you notice about the sky, the sun, the moon, or the stars?', Closing A). The manner-modifier principle applies: students genuinely present aloud to communicate ideas, so both the clarity manner and the present-ideas act are satisfied.","Communicate clearly to present ideas, information, and texts. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L1,1.T.T.2.b,none,,False,,high,True,,alignment=none,"Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.L.V.3.a,none,,False,,high,True,,alignment=none,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.P.CP.1.c,partial,45,False,,high,True,"'In my picture, I see_______.' Group member A should share first.","The standard requires students to (a) contribute ideas, (b) listen to others' ideas, and (c) provide feedback. Clauses (a) and (b) are met: students contribute their own observations during the Picture Tea Party protocol (""In my picture, I see_______"") and the Back-to-Back and Face-to-Face protocol (""I noticed that the sun __________""), and they demonstrate listening when prompted to repeat a classmate's response (""Who can repeat what your classmate said?""). However, clause (c) — providing feedback — is not met. While the teacher gives students specific positive feedback, there is no moment in which students themselves provide feedback to peers (e.g., evaluating, critiquing, or responding substantively to a peer's idea). The lesson's discussion structures involve sharing and listening but not peer feedback.","Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.ST.1.a,full,43,False,,high,True,"After reading the first paragraph, say: 'Give a thumbs-up if you have lain on the grass to look at the sky.'","Students use prior knowledge to identify relevant context by connecting to the text ('Give a thumbs-up if you have lain on the grass to look at the sky,' Opening A). They use informal research by watching videos and viewing photos to gather contextual information about the sun, moon, and stars (Work Time B). They engage in discussions in Picture Tea Party ('In my picture, I see_______,' Opening B) and Back-to-Back protocol ('What is one thing you noticed about the sun in the video?', Work Time B) to determine key observations.","Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L1,1.L.V.3.e,none,,False,,high,True,,alignment=none,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C),claude-opus-4-6,align_judge.assembled.v1,True,False,no evidence required for none,
G1M2U1L1,1.T.T.1.e,none,,False,,high,True,,alignment=none,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.P.EICC.3.e,partial,43,False,,high,True,"Based on the title of the story, what do you think this story will be about?' (a little boy who likes things in the sky; a little boy who likes the clouds; a little boy who likes to look at the sky)","The make-predictions clause is partially met: students make a single prediction before the read-aloud when the teacher asks ""Based on the title of the story, what do you think this story will be about?"" and students respond with predictions (e.g., ""a little boy who likes things in the sky""). This is a genuine prediction by the student, but it is a one-time pre-reading prediction about the story's general topic rather than predictions about specific events or information likely to come next during reading. The track-predictions clause is not met: at no point during or after the read-aloud are students asked to revisit, confirm, revise, or track their initial prediction. The lesson's subsequent questions focus on comprehension recall (""What is one thing we know about Elvin?""), noticing, and wondering — not on tracking predictions.",Make and track predictions about the events and information likely to come next. (I),claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.EICC.2.c,full,43,False,,high,True,"Using a total participation technique, invite responses from the group: 'What is one thing we know about Elvin?'","Students explain concepts by interpreting the story 'Elvin, the Boy Who Loved the Sky' ('What does Elvin observe about the sun?', Opening A). They learn concepts about the sun, moon, and stars by interpreting videos and photos ('as they watch the videos they should look carefully to see what they notice,' Work Time B; 'In my picture, I see_______,' Opening B). They construct texts to demonstrate understanding by using the response sheet to 'capture the things they noticed and wondered about the sun, moon, and stars' with 'pictures and words' (Work Time C).",Explain and learn concepts and processes by interpreting and constructing texts. (I/C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L1,1.P.AC.2.d,none,,False,,high,True,,alignment=none,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.F.F.1.c,none,,False,,high,True,,alignment=none,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding.",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.P.AC.1.b,none,,False,,high,True,,alignment=none,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L1,1.T.T.2.d,none,,False,,high,True,,alignment=none,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
