lesson,action,standard_code,new_rank,ccss_target,justification
G1M2U1L4,added,1.T.SS.1.b,7,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L4,added,1.T.RA.1.b,8,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L4,dropped,1.P.EICC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L4,dropped,1.P.AC.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L4,dropped,1.P.EICC.3.f,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L5,added,1.L.V.3.a,6,L.1.4a,GA: 'Use context...to determine or clarify the meaning of unknown...words' = CCSS L.1.4a / RI.1.4 verbatim.
G1M2U1L5,added,1.T.SS.1.b,7,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L5,added,1.T.RA.1.b,8,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L5,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L5,dropped,1.P.EICC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L5,dropped,1.P.ST.2.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L6,added,1.T.SS.1.b,6,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L6,added,1.T.RA.1.b,7,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L6,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L6,dropped,1.T.C.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L7,added,1.L.V.3.a,6,L.1.4a,GA: 'Use context...to determine or clarify the meaning of unknown...words' = CCSS L.1.4a / RI.1.4 verbatim.
G1M2U1L7,added,1.T.SS.1.b,7,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L7,added,1.T.RA.1.b,8,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L7,dropped,1.P.AC.3.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L7,dropped,1.T.SS.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L7,dropped,1.T.RA.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L8,added,1.L.V.1.b,6,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U1L8,added,1.L.V.3.e,7,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U1L8,added,1.T.SS.1.b,8,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L8,added,1.T.RA.1.b,9,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L8,dropped,1.P.EICC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U1L8,dropped,1.P.EICC.3.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L8,dropped,1.T.C.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L8,dropped,1.P.EICC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L9,added,1.L.V.3.e,6,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U1L9,added,1.T.SS.1.b,7,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L9,added,1.T.RA.1.b,8,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L9,dropped,1.T.SS.2.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L9,dropped,1.P.AC.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L9,dropped,1.P.ST.2.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L10,added,1.L.V.1.a,6,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U2L10,added,1.L.V.3.e,7,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U2L10,added,1.T.T.2.a,8,RI.1.2,GA: 'Identify techniques...including main topic and supporting details' = CCSS RI.1.2 verbatim.
G1M2U2L10,added,1.L.V.3.a,9,RI.1.4,GA: 'Use context...to determine or clarify the meaning of unknown...words' = CCSS L.1.4a / RI.1.4 verbatim.
G1M2U2L10,added,1.T.SS.1.b,10,RI.1.6,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U2L10,dropped,1.P.EICC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U2L10,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L10,dropped,1.T.T.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L10,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L10,dropped,1.P.ST.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L11,added,1.L.GC.2.a,6,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U2L11,added,1.T.SS.1.b,7,RI.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U2L11,added,1.P.CP.1.b,8,SL.1.1a,"GA: 'Collaborate...to determine group norms, establish goals and procedures' = CCSS SL.1.1a's discussion-rules target."
G1M2U2L11,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L11,dropped,1.P.ST.2.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L11,dropped,1.P.ST.2.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L12,added,1.L.GC.2.a,6,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U2L12,added,1.L.GC.2.b,7,L.1.1j,GA: 'Use a variety of simple sentences...to develop clarity' = CCSS L.1.1j's produce/expand-sentences coverage.
G1M2U2L12,added,1.L.V.1.b,8,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U2L12,added,1.L.V.3.e,9,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U2L12,added,1.P.CP.2.a,10,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U2L12,dropped,1.P.ST.2.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U2L12,dropped,1.P.EICC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L12,dropped,1.P.EICC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L12,dropped,1.T.T.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L12,dropped,1.T.T.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L1,added,1.L.GC.2.a,6,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U2L1,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L2,added,1.L.V.3.e,6,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U2L2,added,1.T.SS.1.b,7,RI.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U2L2,added,1.T.C.1.a,8,RL.1.5,"GA: 'Identify the general purpose (to tell stories, to provide information...)' = CCSS RL.1.5's story-vs-informational distinction."
G1M2U2L2,added,1.P.CP.1.b,9,SL.1.1a,"GA: 'Collaborate...to determine group norms, establish goals and procedures' = CCSS SL.1.1a's discussion-rules target."
G1M2U2L2,added,1.T.RA.1.b,10,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U2L2,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U2L2,dropped,1.P.ST.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L2,dropped,1.P.ST.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L2,dropped,1.T.T.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L2,dropped,1.T.SS.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L3,added,1.L.V.3.e,6,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U2L3,dropped,1.L.V.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L4,added,1.T.SS.1.b,6,RI.1.6,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U2L4,dropped,1.P.EICC.4.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L5,added,1.L.V.1.a,6,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U2L5,added,1.L.V.1.b,7,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U2L5,added,1.L.V.3.e,8,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U2L5,added,1.T.T.2.a,9,RI.1.2,GA: 'Identify techniques...including main topic and supporting details' = CCSS RI.1.2 verbatim.
G1M2U2L5,added,1.P.CP.1.b,10,SL.1.1a,"GA: 'Collaborate...to determine group norms, establish goals and procedures' = CCSS SL.1.1a's discussion-rules target."
G1M2U2L5,dropped,1.P.AC.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U2L5,dropped,1.P.EICC.1.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L5,dropped,1.P.EICC.3.f,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L5,dropped,1.T.RA.2.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L5,dropped,1.P.EICC.3.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L6,added,1.L.GC.1.8,6,L.1.1f,GA: 'Use adjectives and adverbs' = CCSS L.1.1f (adjectives; GA bundles adverbs in).
G1M2U2L6,added,1.L.V.1.a,7,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U2L6,added,1.L.V.1.b,8,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U2L6,added,1.L.V.3.e,9,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U2L6,added,1.T.SS.1.b,10,RI.1.6,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U2L6,added,1.P.CP.2.a,11,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U2L6,added,1.T.RA.1.b,12,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U2L6,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 44)
G1M2U2L6,dropped,1.P.AC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 45)
G1M2U2L6,dropped,1.P.EICC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U2L6,dropped,1.T.RA.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L6,dropped,1.P.AC.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L6,dropped,1.P.EICC.4.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L6,dropped,1.P.ST.2.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L7,added,1.L.GC.1.8,6,L.1.1f,GA: 'Use adjectives and adverbs' = CCSS L.1.1f (adjectives; GA bundles adverbs in).
G1M2U2L7,added,1.L.GC.2.a,7,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U2L7,added,1.L.GC.2.b,8,L.1.1j,GA: 'Use a variety of simple sentences...to develop clarity' = CCSS L.1.1j's produce/expand-sentences coverage.
G1M2U2L7,added,1.T.C.1.a,9,RL.1.5,"GA: 'Identify the general purpose (to tell stories, to provide information...)' = CCSS RL.1.5's story-vs-informational distinction."
G1M2U2L7,added,1.T.RA.1.b,10,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U2L7,dropped,1.P.AC.3.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U2L7,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L7,dropped,1.L.GC.1.15,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L7,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L7,dropped,1.P.EICC.3.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L8,added,1.L.GC.2.a,6,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U2L8,added,1.L.V.1.b,7,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U2L8,added,1.T.T.2.a,8,RI.1.2,GA: 'Identify techniques...including main topic and supporting details' = CCSS RI.1.2 verbatim.
G1M2U2L8,added,1.L.V.3.a,9,RI.1.4,GA: 'Use context...to determine or clarify the meaning of unknown...words' = CCSS L.1.4a / RI.1.4 verbatim.
G1M2U2L8,added,1.T.SS.1.b,10,RI.1.6,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U2L8,added,1.P.CP.2.a,11,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U2L8,dropped,1.P.ST.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 45)
G1M2U2L8,dropped,1.P.ST.2.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U2L8,dropped,1.L.V.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L8,dropped,1.P.AC.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L8,dropped,1.P.ST.2.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L8,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U2L9,added,1.L.GC.1.8,6,L.1.1f,GA: 'Use adjectives and adverbs' = CCSS L.1.1f (adjectives; GA bundles adverbs in).
G1M2U2L9,added,1.L.GC.2.a,7,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U2L9,added,1.L.GC.2.b,8,L.1.1j,GA: 'Use a variety of simple sentences...to develop clarity' = CCSS L.1.1j's produce/expand-sentences coverage.
G1M2U2L9,added,1.T.RA.1.b,9,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U2L9,dropped,1.P.ST.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U2L9,dropped,1.P.EICC.3.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U2L9,dropped,1.P.AC.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U2L9,dropped,1.T.RA.2.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L10,added,1.L.GC.2.a,6,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U3L10,added,1.L.GC.2.b,7,L.1.1j,GA: 'Use a variety of simple sentences...to develop clarity' = CCSS L.1.1j's produce/expand-sentences coverage.
G1M2U3L10,added,1.L.GC.1.13,8,L.1.2b,"GA: 'Use periods, exclamation marks, and question marks at the end of sentences' = CCSS L.1.2b verbatim."
G1M2U3L10,added,1.P.CP.2.a,9,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L10,added,1.T.RA.1.b,10,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U3L10,dropped,1.P.EICC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U3L10,dropped,1.P.EICC.1.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U3L10,dropped,1.P.AC.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U3L10,dropped,1.T.T.4.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L10,dropped,1.P.ST.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L11,added,1.P.CP.2.a,6,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L11,dropped,1.P.EICC.4.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L12,added,1.L.V.1.a,6,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U3L12,added,1.L.V.1.b,7,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U3L12,added,1.L.V.3.e,8,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U3L12,dropped,1.P.EICC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
