lesson_id,rank,standard_code,standard_text
G1M2U1L1,32,1.T.T.2.a,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
G1M2U1L1,33,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
G1M2U1L1,34,1.L.GC.2.b,Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
G1M2U1L1,35,1.T.C.1.a,"Identify the general purpose (e.g., to tell stories, to provide information, to share opinions, to explain ideas) and target audience in a variety of texts. (I)"
G1M2U1L1,36,1.L.V.2.a,"Identify frequently occurring root words (e.g., look) and inflectional endings used to form and comprehend new words (e.g., looks, looked, looking). (I)"
G1M2U1L1,37,1.P.EICC.1.b,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)"
G1M2U1L1,38,1.F.F.1.b,Read a wide range of grade-level texts aloud with increasing accuracy.
G1M2U1L1,39,1.T.RA.1.b,"Work collaboratively or individually to conduct research on a shared or personal topic of interest by gathering and organizing information from provided sources (including print, digital, and personal communication) using graphic organizers or other support aids. (I)"
G1M2U1L1,40,1.P.EICC.3.f,"Make, track, and support inferences about different levels of meaning within the text. (I)"
G1M2U1L1,41,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
G1M2U1L1,42,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
G1M2U1L1,43,1.T.C.1.c,"Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)"
G1M2U1L1,44,1.T.SS.1.a,"Identify and use various text features (e.g., diagrams, tables of contents) to locate information and make meaning in texts. (I)"
G1M2U1L1,45,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
G1M2U1L1,46,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
G1M2U1L1,47,1.T.C.2.a,Identify who is speaking or telling the story at various points in a text. (I)
G1M2U1L1,48,1.T.C.1.b,"Identify different modes of communication: print, digital, auditory, and visual. (I)"
G1M2U1L1,49,1.P.EICC.3.c,"Draw from, compare, build, and integrate prior knowledge with the material in the text, addressing inconsistencies or gaps and adding to knowledge repertoires as appropriate. (I)"
G1M2U1L1,50,1.P.EICC.3.b,"Scan and skim the text, making note of structures and sections that might be most useful. (I)"
G1M2U1L3,1,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
G1M2U1L3,2,1.P.EICC.3.g,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
G1M2U1L3,3,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
G1M2U1L3,4,1.T.T.2.a,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
G1M2U1L3,5,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
G1M2U1L3,6,1.T.T.1.c,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
G1M2U1L3,7,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
G1M2U1L3,8,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
G1M2U1L3,9,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
G1M2U1L3,10,1.T.T.1.a,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
G1M2U1L3,11,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
G1M2U1L3,12,1.P.CP.2.a,"Communicate clearly to present ideas, information, and texts. (I/C)"
G1M2U1L3,13,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
G1M2U1L3,14,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
G1M2U1L3,15,1.P.AC.1.a,"Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)"
G1M2U1L3,16,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
G1M2U1L3,17,1.T.T.1.e,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
G1M2U1L3,18,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
G1M2U1L3,19,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
G1M2U1L3,20,1.P.AC.2.d,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)"
G1M2U1L3,21,1.T.T.2.b,"Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
G1M2U1L3,22,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
G1M2U1L3,23,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
G1M2U1L3,24,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
G1M2U1L3,25,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
G1M2U1L3,26,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
G1M2U1L3,27,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
G1M2U1L3,28,1.F.F.1.b,Read a wide range of grade-level texts aloud with increasing accuracy.
G1M2U1L3,29,1.T.T.1.b,Identify a simple plot with a problem and solution. (I)
G1M2U1L3,30,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
G1M2U1L3,31,1.L.V.3.d,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
G1M2U1L3,32,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
G1M2U1L3,33,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
G1M2U1L3,34,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
G1M2U1L3,35,1.L.V.2.c,Construct words using frequently occurring roots words and inflectional endings. (C)
G1M2U1L3,36,1.P.AC.3.b,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
G1M2U1L3,37,1.L.V.2.a,"Identify frequently occurring root words (e.g., look) and inflectional endings used to form and comprehend new words (e.g., looks, looked, looking). (I)"
G1M2U1L3,38,1.L.GC.1.10,Form and use the simple verb tenses. (Continue)
G1M2U1L3,39,1.P.AC.2.a,"Integrate literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements to appeal to target audiences and achieve specific purposes. (I/C)"
G1M2U1L3,40,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
G1M2U1L3,41,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
G1M2U1L3,42,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
G1M2U1L3,43,1.T.T.3.a,"Identify techniques used to craft opinion texts, including the author’s opinion and supporting reasons. (I)"
G1M2U1L3,44,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
G1M2U1L3,45,1.L.GC.1.7,Use action verbs. (Master)
G1M2U1L3,46,1.L.GC.2.c,Use singular and plural subjects with matching verbs. (C)
G1M2U1L3,47,1.L.GC.1.9,Use common and proper nouns. (Continue)
G1M2U1L3,48,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
G1M2U1L3,49,1.P.EICC.3.a,"Establish a purpose and set goals for reading, monitor comprehension, and adjust as needed. (I)"
G1M2U1L3,50,1.L.GC.1.12,Capitalize proper nouns. (Continue)
G1M2U1L6,1,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
G1M2U1L6,2,1.P.EICC.3.g,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
G1M2U1L6,3,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
G1M2U1L6,4,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
G1M2U1L6,5,1.P.EICC.1.c,"Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)"
G1M2U1L6,6,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
G1M2U1L6,7,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
G1M2U1L6,8,1.L.V.3.d,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
G1M2U1L6,9,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
G1M2U1L6,10,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
G1M2U1L6,11,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
G1M2U1L6,12,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
G1M2U1L6,13,1.T.T.2.b,"Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
G1M2U1L6,14,1.T.T.1.a,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
G1M2U1L6,15,1.T.T.1.c,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
G1M2U1L6,16,1.T.T.1.e,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
G1M2U1L6,17,1.T.T.2.a,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
G1M2U1L6,18,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
G1M2U1L6,19,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
G1M2U1L6,20,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
G1M2U1L6,21,1.P.EICC.3.f,"Make, track, and support inferences about different levels of meaning within the text. (I)"
G1M2U1L6,22,1.T.T.1.b,Identify a simple plot with a problem and solution. (I)
G1M2U1L6,23,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
G1M2U1L6,24,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
G1M2U1L6,25,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
G1M2U1L6,26,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
G1M2U1L6,27,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
G1M2U1L6,28,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
G1M2U1L6,29,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
G1M2U1L6,30,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
G1M2U1L6,31,1.P.CP.2.a,"Communicate clearly to present ideas, information, and texts. (I/C)"
G1M2U1L6,32,1.T.SS.1.b,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
G1M2U1L6,33,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
G1M2U1L6,34,1.L.GC.2.d,"With adult support, use adjectives or adverbs to add details or clarify meaning. (C)"
G1M2U1L6,35,1.L.GC.2.b,Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
G1M2U1L6,36,1.T.T.2.d,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
G1M2U1L6,37,1.P.AC.1.a,"Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)"
G1M2U1L6,38,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
G1M2U1L6,39,1.P.AC.2.d,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)"
G1M2U1L6,40,1.T.RA.1.b,"Work collaboratively or individually to conduct research on a shared or personal topic of interest by gathering and organizing information from provided sources (including print, digital, and personal communication) using graphic organizers or other support aids. (I)"
G1M2U1L6,41,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
G1M2U1L6,42,1.T.RA.1.a,Ask questions about topics of interest for research. (I)
G1M2U1L6,43,1.T.C.2.a,Identify who is speaking or telling the story at various points in a text. (I)
G1M2U1L6,44,1.L.V.3.c,"Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
G1M2U1L6,45,1.T.T.3.a,"Identify techniques used to craft opinion texts, including the author’s opinion and supporting reasons. (I)"
G1M2U1L6,46,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
G1M2U1L6,47,1.P.EICC.3.b,"Scan and skim the text, making note of structures and sections that might be most useful. (I)"
G1M2U1L6,48,1.F.P.3.a,"Encode regularly spelled one-syllable words with a variety of spelling patterns (VC, CVC, CVCe, VCC, CCVC, CVCC, CCVCC), including high-frequency words."
G1M2U1L6,49,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
G1M2U1L6,50,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
G1M2U3L5,1,1.T.T.4.a,"Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)"
G1M2U3L5,2,1.T.T.1.e,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
G1M2U3L5,3,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
G1M2U3L5,4,1.T.T.3.a,"Identify techniques used to craft opinion texts, including the author’s opinion and supporting reasons. (I)"
G1M2U3L5,5,1.P.EICC.4.e,"Construct an initial draft by integrating ideas and information; selecting words, phrases, and sentences; and incorporating craft techniques that will best achieve the purpose of the text and resonate with the target audience. (C)"
G1M2U3L5,6,1.T.SS.2.b,Use descriptive words to craft engaging texts. (C)
G1M2U3L5,7,1.P.AC.2.b,"Craft words and phrases in order to influence the responses, thoughts, decisions, and questions of the target audience and achieve a specific purpose. (I/C)"
G1M2U3L5,8,1.T.T.4.b,Use poetic techniques to create poems using simple words and/or phrases that may or may not rhyme. (C)
G1M2U3L5,9,1.L.GC.2.b,Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
G1M2U3L5,10,1.P.EICC.1.d,"Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)"
G1M2U3L5,11,1.T.T.3.c,"Use knowledge of opinion techniques to create opinion pieces that introduce the topic, state an opinion about the topic, and provides two or more reasons to support the opinion with linking words and and because. (C)"
G1M2U3L5,12,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
G1M2U3L5,13,1.P.EICC.2.d,Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
G1M2U3L5,14,1.L.GC.1.10,Form and use the simple verb tenses. (Continue)
G1M2U3L5,15,1.T.T.2.d,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
G1M2U3L5,16,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
G1M2U3L5,17,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
G1M2U3L5,18,1.F.H.2.a,Perform basic transcription skills.
G1M2U3L5,19,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
G1M2U3L5,20,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
G1M2U3L5,21,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
G1M2U3L5,22,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
G1M2U3L5,23,1.P.ST.2.c,"Draw from knowledge of how authors consider context and audience to determine which information and ideas to highlight, which text design is most accessible, which word choices and language structures are most effective, and which craft techniques are most impactful. (I/C)"
G1M2U3L5,24,1.P.AC.3.d,"Consume and produce multimodal texts, integrating a variety of genres, text features, and craft techniques to influence target audiences and achieve specific purposes. (I/C)"
G1M2U3L5,25,1.T.C.1.c,"Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)"
G1M2U3L5,26,1.T.T.2.a,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
G1M2U3L5,27,1.P.EICC.1.b,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)"
G1M2U3L5,28,1.L.V.3.d,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
G1M2U3L5,29,1.L.V.2.c,Construct words using frequently occurring roots words and inflectional endings. (C)
G1M2U3L5,30,1.P.AC.2.d,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)"
G1M2U3L5,31,1.F.P.3.c,"Encode one-syllable nonsense words with a variety of spelling patterns (VC, CVC, CVCe, VCC, CCVC, CVCC, CCVCC)."
G1M2U3L5,32,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
G1M2U3L5,33,1.L.GC.1.21,"Use coordinating conjunctions to join words, phrases, or clauses. (Introduce)"
G1M2U3L5,34,1.P.EICC.3.d,Summarize and visualize sections of the text to maintain understanding. (I)
G1M2U3L5,35,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
G1M2U3L5,36,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
G1M2U3L5,37,1.P.EICC.1.f,Develop independence and autonomy as a reader and writer. (I/C)
G1M2U3L5,38,1.P.AC.2.a,"Integrate literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements to appeal to target audiences and achieve specific purposes. (I/C)"
G1M2U3L5,39,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
G1M2U3L5,40,1.P.ST.2.b,"Draw from knowledge of author, audience, and context to discern and establish a clear point of view or unique perspective when interpreting and constructing texts. (I/C)"
G1M2U3L5,41,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
G1M2U3L5,42,1.L.GC.1.8,Use adjectives and adverbs. (Continue)
G1M2U3L5,43,1.P.EICC.3.g,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
G1M2U3L5,44,1.T.T.1.c,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
G1M2U3L5,45,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
G1M2U3L5,46,1.P.EICC.4.g,"Make changes to the text based on self-evaluation or external feedback, revising the organization, ideas, information, word choices, and craft techniques in order to increase the text’s effectiveness. (C)"
G1M2U3L5,47,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
G1M2U3L5,48,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
G1M2U3L5,49,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
G1M2U3L5,50,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
