code	pages	min	declared_standards	title
G1M2U2L4	239-250	60	RI.1.1,RI.1.2,RI.1.4,RI.1.6,RI.1.7,W.1.8,SL.1.1a,L.1.1,L.1.5,L.1.5c,L.1.6	Lesson 4: Close Read-aloud, Session 3: What Makes Day and Night
G1M2U2L5	251-261	60	RI.1.1,RI.1.2,RI.1.4,RI.1.6,RI.1.7,W.1.8,SL.1.1a,L.1.1f,L.1.1i,L.1.6	Lesson 5: Close Read-aloud, Session 4: What Makes Day and Night
G1M2U2L6	262-272	65	RI.1.6,RI.1.7,W.1.8,SL.1.1a,SL.1.1b,SL.1.4,SL.1.6,L.1.1f,L.1.1i,L.1.6	Lesson 6: Close Read-aloud, Culminating Task: What Makes Day and Night
G1M2U2L7	273-283	60	RL.1.5,RI.1.1,RI.1.2,RI.1.4,RI.1.6,RI.1.7,W.1.8,L.1.1,L.1.1f,L.1.1i,L.1.1j,L.1.6	Lesson 7: Focused Read-aloud, Session 1: Does the Sun Sleep? Noticing Sun, Moon, and Star Patterns
G1M2U2L8	284-294	60	RI.1.1,RI.1.2,RI.1.4,RI.1.6,RI.1.7,W.1.8,SL.1.1a,SL.1.1b,SL.1.4,L.1.1,L.1.1f,L.1.1i,L.1.1j,L.1.6	Lesson 8: Speaking and Listening: Patterns of the Moon
G1M2U2L9	295-306	60	RI.1.1,RI.1.2,RI.1.4,RI.1.6,RI.1.7,W.1.8,L.1.1,L.1.1f,L.1.1i,L.1.1j,L.1.6	Lesson 9: Focused Read-aloud, Session 2: Does the Sun Sleep? Noticing Sun, Moon, and Star Patterns
G1M2U2L10	307-316	60	RI.1.1,RI.1.2,RI.1.4,RI.1.6,RI.1.7,SL.1.1,SL.1.4,W.1.8,L.1.1,L.1.6	Lesson 10: Speaking and Listening: Patterns of the Stars
G1M2U2L11	317-325	60	RI.1.1,RI.1.7,W.1.8,SL.1.1,SL.1.1a,SL.1.1b,SL.1.4,L.1.1,L.1.1j	Lesson 11: Reading, Writing, and Speaking: Preparing for the Unit 2 Assessment
G1M2U2L12	326-334	60	W.1.8,SL.1.1,SL.1.1a,SL.1.1b,SL.1.4,SL.1.6,L.1.1,L.1.1f,L.1.1i,L.1.1j,L.1.6	Lesson 12: Unit 2 Assessment: Discussing Observable Patterns in the Sky
G1M2U3L1	345-354	60	RL.1.1,RL.1.10,SL.1.1,SL.1.2	Lesson 1: Noticing and Wondering: What Happens during the Day and Night?
G1M2U3L2	355-365	60	RL.1.1,RL.1.10,SL.1.2,SL.1.4	Lesson 2: Reading, Speaking, and Listening: Describing the Moon and What It 'Sees'
G1M2U3L3	366-374	55	SL.1.1,SL.1.2	Lesson 3: Speaking and Listening: Introduction to High-Quality Work
G1M2U3L4	375-384	60	W.1.3,W.1.8,L.1.1f,L.1.1j,L.1.2b,SL.1.4	Lesson 4: Speaking and Listening: Planning and Writing 'What the Moon Sees' Poem
G1M2U3L5	385-393	50	W.1.3,W.1.5,W.1.8,SL.1.4,L.1.1f,L.1.1j,L.1.2b	Lesson 5: Speaking and Listening: Planning and Writing 'What the Moon Sees' Poem and Introducing Peer Feedback
G1M2U3L6	394-403	60	RL.1.1,RL.1.10,SL.1.2,SL.1.4	Lesson 6: Reading, Speaking, and Listening: Describing the Sun and What It 'Sees'
G1M2U3L7	404-413	60	W.1.3,W.1.8,SL.1.4,L.1.1f	Lesson 7: Speaking and Listening: Analyzing a Model of High Quality Work
G1M2U3L8	414-423	60	W.1.3,W.1.8,SL.1.4,L.1.1f,L.1.1j,L.1.2b	Lesson 8: Unit 3 Assessment, Part I: Using Observations of the Sun to Write Narrative Poems
G1M2U3L9	424-431	60	W.1.3,W.1.8,SL.1.4,L.1.1f,L.1.1j,L.1.2b	Lesson 9: Unit 3 Assessment, Part II: Using Observations of the Sun to Write Narratives
G1M2U3L10	432-439	60	W.1.3,W.1.8,L.1.1f,L.1.1j,L.1.2b,SL.1.4	Lesson 10: Unit 3 Assessment, Part III: Using Observations of the Sun to Write Narrative Poems
G1M2U3L11	440-449	60	W.1.5,SL.1.4,L.1.1f,L.1.1j,L.1.2b	Lesson 11: Unit 3 Performance Task: Revising and Editing My 'What the Sun Sees' Poem
G1M2U3L12	450-458	60	SL.1.4,SL.1.6,L.1.6	Lesson 12: Speaking and Listening: Preparing for the End of Module Celebration
G1M2U3L13	459-467	60	SL.1.4,SL.1.6,L.1.6	Lesson 13: Speaking and Listening: Sharing and Celebrating Our Work
