Lesson,Lesson ID,Standard,Alignment,Confidence,Evidence from the lesson,Page,Why this alignment,Standard text
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.3.g,None,High,,,"The standard requires students to determine meanings of unfamiliar words using context, academic vocabulary knowledge, and word parts. In this lesson, the teacher provides definitions directly; students do not determine meanings themselves. None of the clauses are met.",Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.CP.2.a,Full,High,'I noticed that the sun __________.',48,"Students communicate clearly to present ideas, information, and texts throughout the lesson during protocols, discussions, and when sharing their response sheets. All three clauses are met in core instructional steps.","Communicate clearly to present ideas, information, and texts. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.RA.1.a,Full,High,'One thing I wonder about the moon/stars is ____________.',48,"Students ask questions about topics of interest (sun, moon, and stars) using 'I wonder' sentence frames during protocols and independent writing. The single clause is met in core instructional steps.",Ask questions about topics of interest for research. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.3.d,None,High,,,"The standard requires students to summarize and visualize sections of text to maintain understanding. Students answer questions about the text and draw their observations, but they do not summarize or visualize text sections as a comprehension strategy. Neither clause is met.",Summarize and visualize sections of the text to maintain understanding. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.CP.1.c,Partial,High,'Who can repeat what your classmate said?' (Responses will vary.),49,"The standard requires three independent verbs: offering ideas, listening, and providing feedback. Students clearly offer ideas (via sentence frames in multiple protocols) and listen (explicitly directed to listen and asked to repeat classmates' words). However, no step asks students to provide feedback on others' ideas—repeating what someone said demonstrates listening, not providing feedback. Since one independent verb is unmet, the status is partial.","Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.SS.1.c,None,High,,,The standard requires students to use transition words or phrases to sequence events and actions. There is no evidence of students using transition words in this lesson. Neither clause is met.,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.2.c,Partial,Medium,"'What did you notice about the sky, the sun, the moon, or the stars?' (Responses will vary.)",49,"Students interpret the read-aloud text and visual media by answering questions about what Elvin observes and wonders, meeting the ""explain concepts by interpreting texts"" clause. However, the ""constructing texts"" clause is weaker: students write/draw on a response sheet capturing notices and wonders, but this is primarily observational recording rather than constructing a text to learn concepts. The shared writing portion is teacher-scribed. Since one clause is met and the other is not clearly met, the result is partial.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.3.e,Partial,High,"'Based on the title of the story, what do you think this story will be about?' (a little boy who likes things in the sky; a little boy who likes the clouds; a little boy who likes to look at the sky)",44,"Students make a prediction about the story based on its title, satisfying the ""make predictions"" clause. However, there is no instructional step where students track, revisit, confirm, or revise their predictions as reading progresses. Since ""make"" and ""track"" are independent verbs that must both be met for full alignment, the result is partial.",Make and track predictions about the events and information likely to come next. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.RA.2.a,None,High,,,"The standard requires students to refer to parts of texts when supporting ideas, answers, or opinions. While students answer questions about the text, they do not explicitly refer to specific parts of the text to support their responses. None of the clauses are met.","Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.2.d,Partial,Low,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.",49,"Students interpret a read-aloud text by answering questions about its content and construct a written/drawn response capturing their observations and wonderings. However, the standard asks students to interpret and construct texts specifically to ""aid the analysis and evaluation of texts and ideas,"" which implies a meta-cognitive use of text construction as a tool for deeper analysis/evaluation. The lesson's activities are primarily observational noticing and wondering rather than using constructed texts to analyze or evaluate other texts. Two of three clauses are met, yielding partial.",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.RA.1.c,Full,High,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.",49,"Students share relevant and accurate information through multiple modes: speaking during protocols, writing and drawing on response sheets, and sharing during whole-group discussions. All three clauses are met in core instructional steps.",Share relevant and accurate information through a variety of different modes. (C)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.T.1.e,None,High,,,"The standard requires students to use narrative techniques (characters, settings, events) to create texts that share real or imagined experiences with closure. Students create observational response sheets with notices and wonders, not narrative texts. None of the clauses are met.","Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.T.2.a,None,High,,,"The standard requires students to identify techniques used to craft expository texts, including main topic and supporting details. The lesson focuses on a narrative read-aloud and observational activities, not analysis of expository text techniques. None of the clauses are met.","Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.F.F.1.a,None,High,,,"The standard requires students to read words using decoding skills with increasing automaticity. In this lesson, the teacher reads aloud and students listen. There is no evidence of students reading words independently. None of the clauses are met.","Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.L.V.2.c,None,High,,,The standard requires students to construct words using root words and inflectional endings. There is no evidence of this activity in the lesson. Neither clause is met.,Construct words using frequently occurring roots words and inflectional endings. (C)
