Lesson,Lesson ID,Standard,Alignment,Confidence,Evidence from the lesson,Page,Why this alignment,Standard text
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.3.g,None,High,,,"The standard requires students to determine meanings of unfamiliar words using context, academic vocabulary knowledge, and word parts. In this lesson, the teacher provides definitions directly; students do not determine meanings themselves. None of the clauses are met.",Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.CP.2.a,Full,High,'I noticed that the sun __________.',48,"Students communicate clearly to present ideas, information, and texts throughout the lesson during protocols, discussions, and when sharing their response sheets. All three clauses are met in core instructional steps.","Communicate clearly to present ideas, information, and texts. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.RA.1.a,Full,High,'One thing I wonder about the moon/stars is ____________.',48,"Students ask questions about topics of interest (sun, moon, and stars) using 'I wonder' sentence frames during protocols and independent writing. The single clause is met in core instructional steps.",Ask questions about topics of interest for research. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.3.d,None,High,,,"The standard requires students to summarize and visualize sections of text to maintain understanding. Students answer questions about the text and draw their observations, but they do not summarize or visualize text sections as a comprehension strategy. Neither clause is met.",Summarize and visualize sections of the text to maintain understanding. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.CP.1.c,Partial,High,'Who can repeat what your classmate said?' (Responses will vary.),49,"The standard requires three independent verbs: offering ideas, listening, and providing feedback. Students clearly offer ideas (via sentence frames in multiple protocols) and listen (explicitly directed to listen and asked to repeat classmates' words). However, no step asks students to provide feedback on others' ideas—repeating what someone said demonstrates listening, not providing feedback. Since one independent verb is unmet, the status is partial.","Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.SS.1.c,None,High,,,The standard requires students to use transition words or phrases to sequence events and actions. There is no evidence of students using transition words in this lesson. Neither clause is met.,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.2.c,Partial,Medium,"'What did you notice about the sky, the sun, the moon, or the stars?' (Responses will vary.)",49,"Students interpret the read-aloud text and visual media by answering questions about what Elvin observes and wonders, meeting the ""explain concepts by interpreting texts"" clause. However, the ""constructing texts"" clause is weaker: students write/draw on a response sheet capturing notices and wonders, but this is primarily observational recording rather than constructing a text to learn concepts. The shared writing portion is teacher-scribed. Since one clause is met and the other is not clearly met, the result is partial.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.3.e,Partial,High,"'Based on the title of the story, what do you think this story will be about?' (a little boy who likes things in the sky; a little boy who likes the clouds; a little boy who likes to look at the sky)",44,"Students make a prediction about the story based on its title, satisfying the ""make predictions"" clause. However, there is no instructional step where students track, revisit, confirm, or revise their predictions as reading progresses. Since ""make"" and ""track"" are independent verbs that must both be met for full alignment, the result is partial.",Make and track predictions about the events and information likely to come next. (I)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.RA.2.a,None,High,,,"The standard requires students to refer to parts of texts when supporting ideas, answers, or opinions. While students answer questions about the text, they do not explicitly refer to specific parts of the text to support their responses. None of the clauses are met.","Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.2.d,Partial,Low,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.",49,"Students interpret a read-aloud text by answering questions about its content and construct a written/drawn response capturing their observations and wonderings. However, the standard asks students to interpret and construct texts specifically to ""aid the analysis and evaluation of texts and ideas,"" which implies a meta-cognitive use of text construction as a tool for deeper analysis/evaluation. The lesson's activities are primarily observational noticing and wondering rather than using constructed texts to analyze or evaluate other texts. Two of three clauses are met, yielding partial.",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.RA.1.c,Full,High,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.",49,"Students share relevant and accurate information through multiple modes: speaking during protocols, writing and drawing on response sheets, and sharing during whole-group discussions. All three clauses are met in core instructional steps.",Share relevant and accurate information through a variety of different modes. (C)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.T.1.e,None,High,,,"The standard requires students to use narrative techniques (characters, settings, events) to create texts that share real or imagined experiences with closure. Students create observational response sheets with notices and wonders, not narrative texts. None of the clauses are met.","Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.T.2.a,None,High,,,"The standard requires students to identify techniques used to craft expository texts, including main topic and supporting details. The lesson focuses on a narrative read-aloud and observational activities, not analysis of expository text techniques. None of the clauses are met.","Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.F.F.1.a,None,High,,,"The standard requires students to read words using decoding skills with increasing automaticity. In this lesson, the teacher reads aloud and students listen. There is no evidence of students reading words independently. None of the clauses are met.","Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.L.V.2.c,None,High,,,The standard requires students to construct words using root words and inflectional endings. There is no evidence of this activity in the lesson. Neither clause is met.,Construct words using frequently occurring roots words and inflectional endings. (C)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.L.V.1.b,None,High,,,"Students recite fixed song lyrics and answer teacher-posed questions. The standard requires students to USE vocabulary to communicate, meaning they must select and apply words in their own speech or writing. Reciting a song or answering questions does not meet this requirement.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.EICC.2.b,Partial,Medium,'Who is the main character?' (the boy),70,"The standard lists four uses of texts: build knowledge, develop skills, make informed decisions, and share information and ideas. Per the object-list rule (same verb ""use texts to""), these are interchangeable targets — any one met satisfies the clause. Students build knowledge through the close read-aloud, develop close reading skills, and share information via turn-and-talks and the response sheet. Since these are interchangeable objects under the same verb (""make use of texts to""), meeting any one satisfies the standard. However, re-reading the skill_clauses, they are listed as four separate clauses. Under the object-list rule for the same verb, any one = clause met, so this should be full. But ""make informed decisions"" is arguably a distinct act from ""build knowledge"" — yet the rule says interchangeable targets with the same verb means any one = clause met. Applying the object-list rule: all four share the verb ""use texts to"" with interchangeable targets (knowledge, skills, decisions, information/ideas). Any one met = clause met. Students clearly use texts to build knowledge and share information. This qualifies as full.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.L.V.1.a,Partial,Medium,"'-Echo each line of the song as it is sung, tracking the print",66,"Students acquire vocabulary (nouns, verbs, 'risin'', 'character', 'setting') through grade-level texts read aloud and the song activity, meeting the acquire clause. However, the apply clause is not clearly met in core steps — students answer teacher questions with definitions the teacher just provided, and the clearest example of applying vocabulary ('take place') appears only on a scaffold step. Since acquire is met but apply is not fully met in core, the result is partial.","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.T.1.a,Partial,High,'Who is the main character?' (the boy),70,"Students identify characters and setting through turn-and-talk and by completing a response sheet with writing and drawing. However, students do not identify major events or dialogue in this lesson. Since the standard requires all four story-craft components (characters, setting, major events, and dialogue) and only two are met, the match is partial.","Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.T.1.c,None,High,,,"Students identify the main character but do not describe character traits or explain how the character's words or actions support the central message, lesson, or moral. The focus is on identifying character and setting, not on analyzing traits or message.","Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.AC.1.b,None,High,,,"The teacher models identifying nouns and verbs in the song, but students do not independently identify, apply, or analyze word choices or their effects on the audience or purpose. This is teacher-led instruction, not student performance of the standard.","Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.EICC.3.g,None,High,,,"The teacher provides definitions (e.g., 'risin'') and reviews vocabulary. Students do not determine meanings of unfamiliar words using context, academic vocabulary knowledge, or word parts. This is direct instruction, not student application.",Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.T.2.a,None,High,,,"This standard requires identifying techniques in expository texts (main topic and supporting details). The lesson uses a narrative story (Summer Sun Risin'), not an expository text. Text-type mismatch results in none.","Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.T.2.b,None,High,,,"Students identify characters and setting but do not describe connections between individuals, events, ideas, or pieces of information. The standard requires describing relationships, which is not evident in this lesson.","Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.SS.2.a,Partial,Medium,"For ELLs: Before singing the 'Sun, Moon, and Stars' song, reread the lyrics aloud and invite students to listen carefully for words that describe the sun and to give a silent signal when they hear one. Invite students to underline the words that they identify.",67,"The only activity where students identify descriptive words occurs on a scaffold step (ELL support on p.67). No core step asks students to identify descriptive words, and no step at all asks students to explain the use of descriptive words. Since one clause is partially addressed only in a scaffold step and the other clause is entirely unmet, the overall match is partial (scaffold-only evidence for identify, no evidence for explain).",Identify and explain the use of descriptive words in texts. (I)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.EICC.4.c,Partial,Medium,Invite students to turn and talk to an elbow partner:,70,"Students assess prior knowledge by recalling details from the read-aloud, gather information from the text Summer Sun Risin' during the close read-aloud, and engage in discussion via turn-and-talk with a partner—all before completing independent writing on the response sheet about character and setting. All three clauses are met. However, the writing task (response sheet about character and setting) is somewhat narrow—students are answering specific questions rather than broadly ""generating ideas for content"" in a traditional prewriting sense. Still, observational/responsive writing about a text counts as generating ideas for content per the scoring rules. All three clauses are met in core steps, so this should be full.","Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.L.V.3.e,None,High,,,"The standard requires students to make word choices in their own speaking and writing using knowledge of word relationships and learned vocabulary. Students answer questions and write/draw about characters and setting, but there is no evidence they are making deliberate word choices based on vocabulary knowledge or word relationships.",Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.SS.2.b,None,High,,,"Students write and draw about characters and setting, but there is no evidence they use descriptive words or craft engaging texts with descriptive language. The writing task focuses on identifying who and where, not on using descriptive language.",Use descriptive words to craft engaging texts. (C)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.EICC.2.d,Partial,Medium,"Display Summer Sun Risin' response sheet. Point out that this material has two parts. Tell students that today they will complete only Part 1, by writing and drawing about the main character and setting using key details from the text.",70,"Students interpret the text by answering questions about character and setting during the close read-aloud, and they construct a response (writing and drawing) on the response sheet. However, the standard also calls for using texts to ""aid the analysis and evaluation"" of texts and ideas — a metacognitive or evaluative use of constructed/interpreted texts that is not clearly demonstrated. Students produce a basic response but do not use that product (or other texts) to conduct further analysis or evaluation. This yields partial alignment.",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.CP.2.d,Partial,High,'Who is the main character?' (the boy),70,"Students answer multiple teacher-posed questions throughout the lesson, satisfying the ""answer questions"" clause. However, no instructional step directs students to generate their own questions; all questions originate from the teacher. Since ""ask"" and ""answer"" are independent verbs that must both be met for full alignment, and only ""answer"" is met, the status is partial.",Engage in dialogue with audiences by asking and answering questions. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.EICC.2.c,Partial,Medium,'Use words and pictures to answer these questions.',70,"Students interpret the text Summer Sun Risin' by answering questions about key details (character, setting) during the close read-aloud and turn-and-talks. They also construct a text by completing the response sheet where they write and draw about the main character and setting. Both clauses are met in core steps. However, the standard is broad (""explain and learn concepts"") and the lesson's text construction is limited to a brief response sheet about character and setting, making this a reasonable but not deeply robust alignment. Both clauses are met in core, so this warrants full.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.EICC.3.d,None,High,,,"Students identify characters and setting and draw them, but this is not summarizing or visualizing sections of the text to maintain understanding during reading. The standard requires these strategies to be used while reading to aid comprehension, not as a post-reading response.",Summarize and visualize sections of the text to maintain understanding. (I)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.RA.2.a,Partial,Medium,'Who is the main character?' (the boy),70,"The standard requires students to refer to parts of texts to support an idea, answer, or opinion. These are interchangeable targets (same verb ""refer to parts of texts"" with an object list: idea, answer, or opinion). Students answer questions about the main character and setting using key details from the text during turn-and-talk and on the response sheet. However, the student responses are fairly basic recall (identifying ""the boy"" and ""a farm"") and the lesson does not strongly require students to point to specific parts/pages of the text to justify their answers — the close read-aloud has students answering questions about the text, but the explicit act of referring back to specific text parts to support their response is implied rather than clearly directed. The turn-and-talk answers and response sheet work do constitute answering with reference to the text, meeting at least one clause of this interchangeable list. Since the object list (idea/answer/opinion) uses the same verb and is interchangeable, meeting ""answer"" suffices. But the evidence that students are explicitly *referring to parts of the text* (rather than just recalling) is weak — the lesson emphasizes ""using key details from the text"" in the learning target, and the close read-aloud guide likely has text-referencing, but the explicit payload steps show basic recall questions. This warrants partial alignment.","Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.RA.1.c,Full,High,Tell students that today they will answer these two questions using pictures and words to show their thinking.,70,"Students share relevant and accurate information through multiple modes: speaking (turn-and-talk), writing and drawing (response sheet), and movement (song gestures, Sun Movement routine). All clauses are met in core instruction.",Share relevant and accurate information through a variety of different modes. (C)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.P.CP.2.a,Full,High,Tell students that today they will answer these two questions using pictures and words to show their thinking.,70,"Students communicate clearly to present ideas, information, and their understanding of the text through turn-and-talk discussions and written/drawn responses. The object list (ideas, information, texts) is interchangeable; all are met.","Communicate clearly to present ideas, information, and texts. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.L.V.3.a,None,High,,,"The teacher provides definitions (e.g., 'risin'') and reviews vocabulary. Students do not use context within or beyond sentences to determine or clarify meanings of unknown or multiple-meaning words. This is direct instruction, not student application of context clues.",Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.F.F.1.a,None,High,,,"Students echo-sing the song and track print, but this is not independent reading with decoding skills. The lesson is a read-aloud where the teacher reads to students. There is no evidence of students using decoding skills to read words in isolation or context with automaticity.","Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.T.SS.1.c,None,High,,,This is a writing standard requiring students to use transition words or phrases to sequence events and actions. Students write and draw about characters and setting but do not sequence events or actions using transition words.,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.L.V.2.a,None,High,,,"Students identify nouns and verbs in the song, but this is not the same as identifying root words and inflectional endings. There is no evidence of students working with word parts (roots and endings) to form or comprehend new words.","Identify frequently occurring root words (e.g., look) and inflectional endings used to form and comprehend new words (e.g., looks, looked, looking). (I)"
"Grade 1 Module 2, Unit 1, Lesson 3",G1M2U1L3,1.L.V.3.c,None,High,,,"Students identify verbs in the song (shines, lights, make, see, look), but there is no evidence they distinguish subtle differences in meaning among verbs that describe similar actions. The lesson focuses on identifying verbs, not comparing nuances of meaning.","Distinguish shades of meaning among verbs that describe the same general action (e.g., walk, march, strut, prance). (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.L.V.1.b,Partial,Medium,'When the sun is setting (the sun/the boy/I) _________.',103,"The standard requires students to USE vocabulary to communicate. Per the object-list rule, general/academic/specialized are interchangeable — any one met satisfies the clause. Students use the word ""setting"" (academic vocabulary) in sentence frames during Think-Pair-Share and in independent writing. However, the primary evidence of students actively selecting and using vocabulary in their own speech/writing is through sentence frames provided by the teacher, and the word ""setting"" is defined by the teacher and then used in a structured frame. Students do repeat and apply the word in their own speech via the sentence stem, which counts as use. The core steps show students using the word ""setting"" in structured discussion. However, the variety-of-settings requirement is only partially met — communication occurs in partner discussions and independent writing but the lesson doesn't explicitly demonstrate a variety of settings. On reflection, the standard says ""in a variety of settings"" but students do communicate in partner talk and whole-group share and independent writing, which constitutes some variety. Let me reconsider: students do use the vocabulary word ""setting"" in their own speech via sentence frames in core steps. This meets ""use to communicate."" The interchangeable object list means meeting any one of general/academic/specialized suffices. The word ""setting"" qualifies as academic vocabulary. Students use it in partner discussions and whole-group sharing — multiple settings. This should be full.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.2.b,Partial,Medium,Invite students to Think-Pair-Share with an elbow partner:,103,"The standard lists four purposes for using texts: build knowledge, develop skills, make informed decisions, and share information and ideas. Per the scoring rules, these are an object list with the same verb (""use texts to...""), so any one met = clause met. Students clearly use the text to build knowledge, develop skills, and share information/ideas through discussions, role-play, and writing. Since these are interchangeable targets under the same verb, meeting any one satisfies the standard. However, I need to reconsider — the skill_clauses list them separately, but the standard text says ""build knowledge, develop skills, make informed decisions, and share information and ideas"" — these are all objects of ""make use of texts to."" Under the object-list rule (same verb, interchangeable targets), any one = clause met, so this should be full.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.3.g,Partial,Medium,'What two words do you see in overhead? What do you think overhead means? Point to something overhead.' (over + head; up above our heads)',100,"The standard requires students to determine meanings of unfamiliar words using context clues, academic vocabulary knowledge, and/or word parts. The only evidence of students doing this is in scaffold (ELL) steps during the Mini Language Dive, where students are asked about the meaning of ""by"" in context and asked to break apart ""overhead"" into word parts. No core (untagged) step has students determine word meanings. Since the only evidence is from scaffold steps, the match is partial at best. The word parts clause is met only on a scaffold step, and context clues work is also scaffold-only. The teacher defines ""setting"" in core without students determining it themselves.",Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.4.c,Full,High,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students assess prior knowledge (role-play), gather information from the text (key details), and engage in discussions (turn and talk) to generate ideas for their writing about the ending events.","Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.L.V.3.a,Partial,Medium,'What does the word by mean in this chunk?' (next to),100,"Students engage in determining word meaning using context, but the clearest evidence of students using context to clarify unknown or multiple-meaning words occurs on scaffold (ELL) steps — the Mini Language Dive where students determine meanings of ""by,"" ""overhead,"" and the verse. The core step about ""setting"" involves the teacher defining the word and students answering a teacher question about its meaning, which is a lighter touch. Because the strongest evidence for using context to determine meaning is on scaffold steps only, the match is partial rather than full.",Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.1.c,None,High,,,"The text is teacher-selected and teacher-read. Students write about the assigned text, not texts of their own personal interest. The standard requires student selection and reading, which are not present.","Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.CP.1.d,Full,High,Move students into pre-determined pairs and tell them they are going to use the Role-Play protocol to act out a few of the ending events of Summer Sun Risin.',101,"Students work collaboratively with partners to discuss topics, investigate questions about the text, solve problems during role-play, and explore the text through multiple protocols (Think-Pair-Share, Role-Play).","Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.L.V.1.a,Partial,Medium,Invite students to create an accompanying hand gesture as they repeat the word with you.,101,"Students acquire the vocabulary word ""setting"" through the grade-level read-aloud text and repeat it with a gesture, meeting the acquire clause. However, the apply clause requires students to select and use acquired vocabulary in their own communication. The core sentence stem pre-fills ""setting"" for students rather than having them choose to use it, and the ELL sentence frames that more clearly apply vocabulary appear only on scaffold steps. Since acquire is met but apply is not clearly met in core, the result is partial.","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
