Lesson,Lesson ID,Standard,Alignment,Confidence,Evidence from the lesson,Page,Why this alignment,Standard text
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.2.c,None,High,,,"This standard requires students to construct words by combining root words with inflectional endings. The lesson focuses on writing a narrative poem using descriptive words, not on word construction with roots and endings.",Construct words using frequently occurring roots words and inflectional endings. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.2.d,None,Low,"Tell students that in the previous lesson, they analyzed these verses for evidence of highquality writing.",389,"Students interpret the model poem to understand high-quality writing ideas, construct their own verse 3 applying this analysis, and use the model text and anchor charts to analyze and evaluate writing quality. All clauses are met. [REJECTED: evidence missing or not found in lesson raw text]",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.GC.1.10,Partial,Medium,Answer clarifying questions and invite students to begin writing.,390,"Students write poetry independently and engage in peer feedback, which involves incidental use of verb tenses. However, the lesson never explicitly teaches, practices, or focuses on forming or using simple verb tenses. The standard requires intentional work with verb tenses, not merely writing that happens to contain verbs. At best, one clause (use) is marginally met through the writing activity, but forming verb tenses is not addressed at all.",Form and use the simple verb tenses. (Continue)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.3.e,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students use knowledge of word relationships (from anchor charts showing adjectives and related words) and learned vocabulary (from the Sun, Moon, and Stars Word Wall) when making word choices in their writing. Both clauses are met.",Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.3.c,None,High,,,"This standard requires creating opinion pieces with specific components. Students write a narrative poem, not an opinion piece. None of the required clauses for opinion writing are met.","Use knowledge of opinion techniques to create opinion pieces that introduce the topic, state an opinion about the topic, and provides two or more reasons to support the opinion with linking words and and because. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.C.1.c,Full,High,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"Students independently write their own verse 3 and closing of a narrative poem in print mode (pencil and paper), which constitutes creating a text in a teacher-selected mode. The standard uses ""e.g."" to list modes, meaning any one mode satisfies the requirement. This is a core, untagged step where students perform the act of creating text.","Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.2.a,Partial,Medium,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"The standard requires sharing real OR imagined experiences by interpreting and constructing texts that tell or include stories. The skill_clauses list three items, but the standard text uses ""real or imagined"" as an OR construction (object list with same verb), meaning either real or imagined suffices. Students write an imagined narrative poem (constructing texts) and interpret the model poem. However, re-reading the skill_clauses: they are listed as three separate clauses. The first two share the same verb pattern with ""real"" vs ""imagined"" — these are interchangeable (OR in the standard text). The third clause (interpret) is also met. Since the standard says ""interpreting AND constructing,"" both verbs apply. Students both interpret (analyze the model poem) and construct (write verse 3). All required acts are met. Actually, reconsidering: the standard says ""real or imagined"" — this is an OR, so meeting imagined suffices. Students construct (write verse 3) and interpret (analyze the poem). Both independent verbs are met. This should be full.",Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.2.a,None,High,,,"This standard requires identifying techniques in expository texts. The lesson focuses on a narrative poem, not expository texts. None of the clauses are met.","Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.2.d,None,High,,,"This standard requires using expository writing techniques to introduce a topic, supply facts, and provide closure. Students write a narrative poem about imagined experiences, not an expository text with facts. None of the clauses are met.","Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.1.b,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students use grade-level general, academic, and specialized vocabulary from anchor charts and word walls to communicate in their writing. The standard treats these as interchangeable targets (any one satisfies), and students use all three types. All clauses are met.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.SS.1.c,None,High,,,"The lesson focuses on writing a narrative poem verse and providing peer feedback. There is no step where students are directed to use transition words or phrases (e.g., ""once upon a time,"" ""next,"" ""last"") to sequence events or actions. The standard's skill is not addressed in any core or scaffold step.","Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.AC.3.a,None,Low,"Tell students that in the previous lesson, they analyzed these verses for evidence of highquality writing.",389,"Students explore the model poem to understand how specific features create high-quality writing, and they create their own narrative poem verse applying this knowledge. Both clauses are met. [REJECTED: evidence missing or not found in lesson raw text]","Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.AC.3.d,None,Low,,,"The standard requires consuming and producing multimodal texts that integrate a variety of genres, text features, and craft techniques to influence audiences and achieve purposes. This lesson involves reading/listening to a single poem and writing a verse of that poem—a single-genre, single-mode activity. While students do produce writing and engage in peer feedback, there is no multimodal integration (combining different media/modes), no variety of genres, and no purposeful audience influence. None of the three clauses are met. [REJECTED: evidence missing or not found in lesson raw text]","Consume and produce multimodal texts, integrating a variety of genres, text features, and craft techniques to influence target audiences and achieve specific purposes. (I/C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.1.a,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students acquire vocabulary from grade-level texts (the model poem) and content resources (anchor charts and word walls), and they apply this vocabulary in their writing. Both clauses are met.","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.3.d,None,High,,,"This standard requires students to summarize or visualize sections of text to maintain understanding. While students read and analyze the model poem, they do not summarize or create visual representations of text sections. Neither clause is met.",Summarize and visualize sections of the text to maintain understanding. (I)
