Lesson,Lesson ID,Standard,Alignment,Confidence,Evidence from the lesson,Page,Why this alignment,Standard text
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.L.V.3.d,None,High,,,The lesson does not show students using picture dictionaries or digital resources to clarify word meanings. Vocabulary work is done through teacher-led discussion and context analysis.,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.2.b,Full,High,'What time of day do you think the end of the story takes place?' (at the end of the day),99,"Students describe connections between individuals (boy and sun), events (activities throughout the day), ideas (sun movement and daily routines), and information (time of day and sun position). The interchangeable object list is satisfied.","Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.CP.2.a,Full,High,'What does the boy experience when the sun is setting?' (The boy is reading a book with his dad and getting ready for bed.),103,"Students communicate clearly to present ideas, information, and understanding of texts through multiple discussion protocols and role-play. The interchangeable object list is satisfied.","Communicate clearly to present ideas, information, and texts. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.1.e,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students write and draw about ending events of Summer Sun Risin' on a response sheet, which involves knowledge of characters and events. However, the task is a retelling response rather than creating a narrative text using narrative techniques. Students are not explicitly guided to incorporate setting into their writing, nor are they taught or asked to provide a sense of closure. Since some clauses (characters, events, sharing experiences) are met but others (settings, closure) are not, the match is partial.","Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.2.d,Partial,Low,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"The standard asks students to interpret AND construct texts to aid the analysis and evaluation of texts and ideas. Students do interpret the literary text through discussion and role-play, and they construct a written/drawn response. However, the standard's core purpose—using constructed texts as tools to aid analysis and evaluation—is only partially addressed. The response sheet captures understanding of events but is not clearly used as an analytical or evaluative tool. Two of three clauses are met, yielding partial.",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.2.a,None,High,,,This standard requires working with expository texts. Summer Sun Risin' is a narrative/literature text. There is a hard gate mismatch between the required text type and the lesson content.,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.3.d,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students summarize ending events through discussion (""What happened at the end of the story?"") and by writing about them on the response sheet using the sentence frame ""At the end…"". Students visualize by role-playing (acting out) sections of the text and by drawing about the ending events. However, the standard specifically targets summarizing and visualizing as comprehension strategies to ""maintain understanding,"" and while the lesson has students retell/describe ending events and draw/act them out, the lesson does not explicitly frame these as summarizing or visualizing strategies for comprehension monitoring. The acts are present but the strategic framing is implicit rather than explicit. Both clauses are met in core steps, so this warrants full alignment.",Summarize and visualize sections of the text to maintain understanding. (I)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.1.c,None,High,,,"Students describe what the boy does (actions) but do not describe character traits or explain how words/actions support the central message, lesson, or moral. The focus is on retelling events, not analyzing how they support the story's message.","Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.1.a,Partial,High,'What happened at the end of the story?' (The boy reads a book with his dad and goes to sleep.),102,"Students identify characters (the boy, the sun, Pa) and major events (ending events through discussion, role-play, and writing/drawing). However, students do not identify the story's setting as a story element—'setting' is only defined as 'moving down' in the context of sunset. Dialogue is also never identified by students. Since two of the four complementary story-craft components are unmet, the match is partial.","Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.2.c,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students interpret the literary text through close read-aloud discussions, role-playing, and answering comprehension questions, meeting the ""explain concepts by interpreting texts"" clause. Students also construct a text (written response sheet with drawing and writing about ending events), meeting the ""learn concepts by constructing texts"" clause. Both clauses are met in core steps, supporting a full match. However, the standard's language about ""explain and learn concepts and processes"" is broad, and the lesson focuses on describing story events rather than explaining abstract concepts or processes, which introduces some uncertainty. On reflection, the students do explain what happens in the story (a form of explaining concepts from the text) and construct a written response to demonstrate understanding, so both clauses are met in core. Revising to full.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.3.e,Partial,High,'Where do you think the sun will be at the end of the story?' (at one corner of the page),99,"Students make predictions before reading (e.g., predicting where the sun will be at the end of the story), satisfying the ""make"" clause. However, there is no explicit step where students track, revisit, confirm, or revise those predictions during or after reading, so the ""track"" clause is unmet. Since ""make"" and ""track"" are independent verbs, this results in partial alignment.",Make and track predictions about the events and information likely to come next. (I)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.3.f,Partial,Medium,'What time of day do you think the end of the story takes place?' (at the end of the day),99,"Students make inferences in core steps (predicting time of day and sun position) and in scaffold steps (interpreting verse meaning). However, there is no mechanism for tracking inferences as reading progresses, and supporting inferences with textual evidence appears only in a scaffold step. With only one of three independent verbs met in core, the result is partial.","Make, track, and support inferences about different levels of meaning within the text. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.RA.2.a,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"The standard requires students to refer to parts of texts when supporting an idea, answer, or opinion (these are interchangeable per the OR/object-list rule). Students answer text-dependent questions in core steps (e.g., ""What happened at the end of the story?"" and ""What does the boy experience when the sun is setting?"") and are reminded to think about parts they acted out when writing. However, the lesson does not explicitly require students to cite or point to specific parts of the text to support their responses — students answer from memory/discussion rather than being directed to refer back to the text. The closest evidence is the instruction to ""think about the parts they acted out,"" which implicitly references the text. This is borderline but meets the threshold for partial alignment since students do draw on text content to support answers, though explicit text-referencing is weak in core steps.","Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.CP.1.c,Partial,Medium,'What did it look and sound like when you were showing respect during the Role-Play protocol?',101,"Students contribute ideas in discussions (Think-Pair-Share, turn and talk) and participate in a shared project (Role-Play protocol). Listening is supported by prompts like ""Who can repeat what your classmate said?"" However, there is no step where students provide feedback to peers—all feedback in the lesson flows from teacher to students. Since ""provide feedback"" is an independent verb requirement that is unmet, the match is partial.","Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.ST.1.c,None,High,,,"The standard requires students to explore how context shapes the author's decisions and the audience's responses during interpretation and construction of texts. The lesson focuses on describing story events (what the boy and sun do), role-playing events, and writing/drawing about ending events. Students never examine how context (cultural, historical, social) influences the author's choices or how context shapes audience responses. There is topic overlap with a literary text but no student activity addressing the standard's requirements.",Explore how context shapes the author’s decisions and the audience’s responses during the interpretation and construction of texts. (I/C)
