source_code,n_lessons,target_code,presence_fraction,avg_reciprocal_rank,lift_vs_background,confidence,target_standard_text
SL.1.1a,9,1.F.P.3.c,0.11,0.0046,2.75,low,"Encode one-syllable nonsense words with a variety of spelling patterns (VC, CVC, CVCe, VCC, CCVC, CVCC, CCVCC)."
SL.1.1b,4,1.F.P.3.c,0.25,0.0104,6.19,low,"Encode one-syllable nonsense words with a variety of spelling patterns (VC, CVC, CVCe, VCC, CCVC, CVCC, CCVCC)."
SL.1.1b,4,1.T.T.4.b,0.50,0.0298,3.82,medium,Use poetic techniques to create poems using simple words and/or phrases that may or may not rhyme. (C)
SL.1.1b,4,1.T.RA.1.b,0.75,0.0514,3.23,high,"Work collaboratively or individually to conduct research on a shared or personal topic of interest by gathering and organizing information from provided sources (including print, digital, and personal communication) using graphic organizers or other support aids. (I)"
SL.1.2,20,1.T.T.1.d,0.65,0.0398,2.00,medium,"With adult support, compare and contrast characters and their experiences in stories across diverse cultures. (I)"
SL.1.2,20,1.T.T.1.b,0.65,0.0984,2.00,medium,Identify a simple plot with a problem and solution. (I)
SL.1.2,20,1.T.C.2.a,0.65,0.0358,2.00,medium,Identify who is speaking or telling the story at various points in a text. (I)
SL.1.4,16,1.P.EICC.4.d,0.50,0.0200,2.50,medium,"Link ideas and information to the organization plan, highlighting ideas and information that are most relevant, useful, and impactful. (C)"
SL.1.4,16,1.P.EICC.1.f,0.44,0.0156,2.50,medium,Develop independence and autonomy as a reader and writer. (I/C)
SL.1.4,16,1.F.PA.5.a,0.06,0.0026,2.50,low,"Blend onsets and rimes of spoken one-syllable words with blends, digraphs, and trigraphs in the initial and final positions."
SL.1.6,4,1.P.CP.2.b,0.50,0.0699,9.18,medium,Integrate modes and genres most appropriate to purpose and audience. (I/C)
SL.1.6,4,1.P.CP.2.a,0.50,0.2639,7.67,medium,"Communicate clearly to present ideas, information, and texts. (I/C)"
SL.1.6,4,1.P.CP.2.c,1.00,0.1955,5.68,high,"Vary tone, pace, and nonverbal gestures as appropriate to purpose and audience. (I/C)"
W.1.3,6,1.F.PA.5.a,0.17,0.0069,6.67,low,"Blend onsets and rimes of spoken one-syllable words with blends, digraphs, and trigraphs in the initial and final positions."
W.1.3,6,1.P.EICC.4.b,1.00,0.0431,6.02,high,"Plan how to organize the text by selecting modes, genres, and structures that will achieve the purpose and meet the needs of the target audience. (C)"
W.1.3,6,1.P.EICC.4.f,0.83,0.2176,5.72,high,"Evaluate the text’s effectiveness based on self-review or feedback from others, determining whether the text matches the purpose and goals for writing. (C)"
W.1.5,2,1.L.GC.1.17,0.50,0.0238,20.00,medium,"Use commas to separate items in a series and to format dates, addresses, salutations, and closings. (Introduce)"
W.1.5,2,1.P.EICC.4.h,1.00,0.1823,14.23,high,"Edit the text, ensuring it adheres to the conventions of written language. (C)"
W.1.5,2,1.P.EICC.4.g,1.00,0.3214,11.53,high,"Make changes to the text based on self-evaluation or external feedback, revising the organization, ideas, information, word choices, and craft techniques in order to increase the text’s effectiveness. (C)"
W.1.8,33,1.T.T.1.a,0.48,0.2868,1.21,low,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
W.1.8,33,1.T.T.1.b,0.39,0.0596,1.21,low,Identify a simple plot with a problem and solution. (I)
W.1.8,33,1.T.C.2.a,0.39,0.0217,1.21,low,Identify who is speaking or telling the story at various points in a text. (I)
